B	PRIM	Pensjonat Kosmos	SMS         	34 9033877	NIP     	8642839346	KRS	6445489652	BIZNES  	tlihloivc8@mkmwwnaz.wbf	N	
B	PRIM	Hotel Bia³y Szkwa³	SMS         	884594292	NIP     	5974428270	REGON   	941211176	BIZNES  	zlcdojf600@jcglzjmcu.syb	N	
B	PRIM	Agencja Reklamowa Zasada	FAX	58 4703816	NIP     	0539720637	KRS	9854511468	BIZNES  	dguiht2@ugvnro.ahj	N	
B	PRIM	Przedsiêbiorstwo Rybackie	KONTAKTOWY  	696458119	NIP     	8839827272	REGON   	513809011	BIZNES  	syzlibrgt4@lhbbistbl.pqp	N	
B	PRIM	Szpital	KONTAKTOWY  	87 4171518	NIP     	5446355567	REGON   	3983789910	BIZNES  	kuvanr771@hmjul.nqp	Y	Sprzêt
B	PRIM	Restauracja Uœmiech Boryny	KONTAKTOWY  	85 8572765	NIP     	2495226609	REGON   	398903472	BIZNES  	uilzewpkwj72@dgtbyuezljw.osk	N	
B	PRIM	Liceum ogólnokszta³c¹ce nr 14	FAX	505074436	NIP     	1025146516	REGON   	95258992846164	BIZNES  	bozfuqm47@czpcj.vwv	N	
B	PRIM	Komisariat Policji nr 8	FAX	797066231	NIP     	0189756823	REGON   	627189182808010	BIZNES  	zjdjiqnykrpv04@oqjck.gib	N	
B	PRIM	Szko³a podstawowa nr 9	SMS         	13 2437330	NIP     	0675851644	KRS	7427767828	BIZNES  	yyqvsyyam47@zbaywuwzznzg.krq	N	
B	PRIM	Gorzelnia Na bagnie	KONTAKTOWY  	792911189	NIP     	83830311710	REGON   	36307875335707	BIZNES  	nmwpyjuj18@qhygktnolc.ojf	N	
B	PRIM	Szpital	SMS         	722626217	NIP     	1686015515	REGON   	235685090	BIZNES  	lrohbhl1@uwzcja.aot	Y	Sprzêt
B	PRIM	Przedsiêbiorstwo Zbrojeniowe	SMS         	77 5046045	NIP     	1171440835	KRS	9038931980	BIZNES  	tygkzga050@hlkjltp.dde	N	
B	PRIM	Kopalnia Soli	SMS         	95 1567558	NIP     	4684450065	REGON   	287647426	BIZNES  	dnmyybkhi493@mzqrt.pgn	N	
B	PRIM	Liceum ogólnokszta³c¹ce nr 6	FAX	533900211	NIP     	0030902730	REGON   	546250295	BIZNES  	mgptbq039@rkulva.qfp	N	
B	PRIM	Liceum ogólnokszta³c¹ce nr 20	FAX	729982666	NIP     	3733397035	REGON   	210037623	BIZNES  	gihyqcvwn630@ohgcprgjmoch.szd	N	
B	PRIM	Szko³a podstawowa nr 17	KONTAKTOWY  	512084576	NIP     	1618924197	REGON   	551147048	BIZNES  	woshuiw7@eqekiz.esn	N	
B	PRIM	Stocznia	KONTAKTOWY  	94 6570481	NIP     	7072202811	KRS	3615167769	BIZNES  	cvmiivvt7@zcnyweg.gcf	N	
B	PRIM	Kopalnia Soli	FAX	574433169	NIP     	9686694874	KRS	0297079579	BIZNES  	frrjwpjkjkz2@yhfhvak.vyo	N	
B	PRIM	Stocznia	SMS         	785418760	NIP     	6728868551	REGON   	87331199117940	BIZNES  	twwqgwgqpc659@dnyub.fzq	N	
B	PRIM	Komisariat Policji nr 47	SMS         	668564756	NIP     	7062645091	KRS	9578005799	BIZNES  	kvksaweefv9@cvfss.ouj	N	
